job_id,titulo_vaga,cliente,vaga_sap,nivel_profissional_req,nivel_ingles_req,nivel_espanhol_req,areas_atuacao,principais_atividades,competencias,beneficios_raw,req_text,req_text_clean,req_text_clean_noaccents,req_len_tokens
5138,Consultor Salesforce - 11899208,Nelson-Page,False,Analista,Básico,Básico,TI - Projetos-,"Descrição/Comentário: Consultor Salesforce com experiência em ágil escalado (SAFe)
Outros detalhes do trabalho: 1 - Program and Project Management (P1 - Beginner) | 2 - Project Management Body of Knowledge (PMBOK) (P1 - Beginner) | 3 - Risk Management (P1 - Beginner) | 4 - Scope Management (P1 - Beginner) -Possibilidade de absorção -Trabalho remoto por conta da pandemia -Horário das 9h ás 18h
Primary Skill * Others (Please note the Skill at the beginning of Job Description)","Descrição/Comentário: Consultor Salesforce com experiência em ágil escalado (SAFe)
Outros detalhes do trabalho: 1 - Program and Project Management (P1 - Beginner) | 2 - Project Management Body of Knowledge (PMBOK) (P1 - Beginner) | 3 - Risk Management (P1 - Beginner) | 4 - Scope Management (P1 - Beginner) -Possibilidade de absorção -Trabalho remoto por conta da pandemia -Horário das 9h ás 18h
Primary Skill * Others (Please note the Skill at the beginning of Job Description)",,"Descrição/Comentário: Consultor Salesforce com experiência em ágil escalado (SAFe)
Outros detalhes do trabalho: 1 - Program and Project Management (P1 - Beginner) | 2 - Project Management Body of Knowledge (PMBOK) (P1 - Beginner) | 3 - Risk Management (P1 - Beginner) | 4 - Scope Management (P1 - Beginner) -Possibilidade de absorção -Trabalho remoto por conta da pandemia -Horário das 9h ás 18h
Primary Skill * Others (Please note the Skill at the beginning of Job Description) Descrição/Comentário: Consultor Salesforce com experiência em ágil escalado (SAFe)
Outros detalhes do trabalho: 1 - Program and Project Management (P1 - Beginner) | 2 - Project Management Body of Knowledge (PMBOK) (P1 - Beginner) | 3 - Risk Management (P1 - Beginner) | 4 - Scope Management (P1 - Beginner) -Possibilidade de absorção -Trabalho remoto por conta da pandemia -Horário das 9h ás 18h
Primary Skill * Others (Please note the Skill at the beginning of Job Description)",descrição/comentário consultor salesforce com em ágil escalado safe outros detalhes do trabalho 1 - program and project management p1 - beginner 2 - project management body of knowledge pmbok p1 - beginner 3 - risk management p1 - beginner 4 - scope management p1 - beginner -possibilidade de absorção -trabalho remoto por conta da pandemia -horário das 9h ás 18h primary skill others please note the skill at the beginning of job description descrição/comentário consultor salesforce com em ágil escalado safe outros detalhes do trabalho 1 - program and project management p1 - beginner 2 - project management body of knowledge pmbok p1 - beginner 3 - risk management p1 - beginner 4 - scope management p1 - beginner -possibilidade de absorção -trabalho remoto por conta da pandemia -horário das 9h ás 18h primary skill others please note the skill at the beginning of job description,descricao/comentario consultor salesforce com em agil escalado safe outros detalhes do trabalho 1 - program and project management p1 - beginner 2 - project management body of knowledge pmbok p1 - beginner 3 - risk management p1 - beginner 4 - scope management p1 - beginner -possibilidade de absorcao -trabalho remoto por conta da pandemia -horario das 9h as 18h primary skill others please note the skill at the beginning of job description descricao/comentario consultor salesforce com em agil escalado safe outros detalhes do trabalho 1 - program and project management p1 - beginner 2 - project management body of knowledge pmbok p1 - beginner 3 - risk management p1 - beginner 4 - scope management p1 - beginner -possibilidade de absorcao -trabalho remoto por conta da pandemia -horario das 9h as 18h primary skill others please note the skill at the beginning of job description,146
5137,IND - Analista de Infra,Morrison Ltd,False,Pleno,Nenhum,Nenhum,Gestão e Alocação de Recursos de TI-,Infraestrutura,AWS,,AWS Infraestrutura,aws infraestrutura,aws infraestrutura,2
5136,IND - Analista de Infra,Morrison Ltd,False,Pleno,Nenhum,Nenhum,Gestão e Alocação de Recursos de TI-,Infraestrutura,AWS,,AWS Infraestrutura,aws infraestrutura,aws infraestrutura,2
5135,IND - Analista de Infra,Morrison Ltd,False,Pleno,Nenhum,Nenhum,Gestão e Alocação de Recursos de TI-,Infraestrutura,suporte técnico,,suporte técnico Infraestrutura,suporte técnico infraestrutura,suporte tecnico infraestrutura,3
5134,Cloud Azure - Sênior - 11897444,"Wade, Bernard and Bailey",False,Analista,Fluente,Básico,TI - Projetos-,"Local de Trabalho: Indiferente

Skills:
• Cloud Azure – Skill Advanced
• OCI – Skill Proficient
• SO Windows Server – Skill Advanced
• SO Linux – Skill Advanced
• Network – Skill Proficient
• Storage – Skill Proficient
• IITL – Skill Proficient
• Inglês – Skill Proficient

• Advanced:
· Deep Technical skills.
· Conducts complex problem resolution, integration work, proof of concept, stress testing & performance testing, support
· Engages and coordinate others
· Transfers knowledge to field, customers.
• Proficient:
· Technical skills.
· Maintains awareness of market latest developments.
· Coordinates complex IT solutions offering adapted to customer's needs.
· Engages specialist resources as needed.
· Develops/delivers technical workshops.
Primary Skill Cloud Infrastructure","Local de Trabalho: Indiferente

Skills:
• Cloud Azure – Skill Advanced
• OCI – Skill Proficient
• SO Windows Server – Skill Advanced
• SO Linux – Skill Advanced
• Network – Skill Proficient
• Storage – Skill Proficient
• IITL – Skill Proficient
• Inglês – Skill Proficient

• Advanced:
· Deep Technical skills.
· Conducts complex problem resolution, integration work, proof of concept, stress testing & performance testing, support
· Engages and coordinate others
· Transfers knowledge to field, customers.
• Proficient:
· Technical skills.
· Maintains awareness of market latest developments.
· Coordinates complex IT solutions offering adapted to customer's needs.
· Engages specialist resources as needed.
· Develops/delivers technical workshops.
Primary Skill Cloud Infrastructure",,"Local de Trabalho: Indiferente

Skills:
• Cloud Azure – Skill Advanced
• OCI – Skill Proficient
• SO Windows Server – Skill Advanced
• SO Linux – Skill Advanced
• Network – Skill Proficient
• Storage – Skill Proficient
• IITL – Skill Proficient
• Inglês – Skill Proficient

• Advanced:
· Deep Technical skills.
· Conducts complex problem resolution, integration work, proof of concept, stress testing & performance testing, support
· Engages and coordinate others
· Transfers knowledge to field, customers.
• Proficient:
· Technical skills.
· Maintains awareness of market latest developments.
· Coordinates complex IT solutions offering adapted to customer's needs.
· Engages specialist resources as needed.
· Develops/delivers technical workshops.
Primary Skill Cloud Infrastructure Local de Trabalho: Indiferente

Skills:
• Cloud Azure – Skill Advanced
• OCI – Skill Proficient
• SO Windows Server – Skill Advanced
• SO Linux – Skill Advanced
• Network – Skill Proficient
• Storage – Skill Proficient
• IITL – Skill Proficient
• Inglês – Skill Proficient

• Advanced:
· Deep Technical skills.
· Conducts complex problem resolution, integration work, proof of concept, stress testing & performance testing, support
· Engages and coordinate others
· Transfers knowledge to field, customers.
• Proficient:
· Technical skills.
· Maintains awareness of market latest developments.
· Coordinates complex IT solutions offering adapted to customer's needs.
· Engages specialist resources as needed.
· Develops/delivers technical workshops.
Primary Skill Cloud Infrastructure",local de trabalho indiferente skills cloud azure - skill advanced oci - skill proficient so windows server - skill advanced so linux - skill advanced network - skill proficient storage - skill proficient iitl - skill proficient inglês - skill proficient advanced deep technical skills. conducts complex problem resolution integration work proof of concept stress testing performance testing support engages and coordinate others transfers knowledge to field customers. proficient technical skills. maintains awareness of market latest developments. coordinates complex it solutions offering adapted to customer s needs. engages specialist resources as needed. develops/delivers technical workshops. primary skill cloud infrastructure local de trabalho indiferente skills cloud azure - skill advanced oci - skill proficient so windows server - skill advanced so linux - skill advanced network - skill proficient storage - skill proficient iitl - skill proficient inglês - skill proficient advanced deep technical skills. primary skill cloud infrastructure,local de trabalho indiferente skills cloud azure - skill advanced oci - skill proficient so windows server - skill advanced so linux - skill advanced network - skill proficient storage - skill proficient iitl - skill proficient ingles - skill proficient advanced deep technical skills. conducts complex problem resolution integration work proof of concept stress testing performance testing support engages and coordinate others transfers knowledge to field customers. proficient technical skills. maintains awareness of market latest developments. coordinates complex it solutions offering adapted to customer s needs. engages specialist resources as needed. develops/delivers technical workshops. primary skill cloud infrastructure local de trabalho indiferente skills cloud azure - skill advanced oci - skill proficient so windows server - skill advanced so linux - skill advanced network - skill proficient storage - skill proficient iitl - skill proficient ingles - skill proficient advanced deep technical skills. primary skill cloud infrastructure,148
5133,Cloud Azure - Pleno - 11897437,"Wade, Bernard and Bailey",False,Analista,Básico,Básico,TI - Projetos-,"Local de Trabalho: Indiferente

Skills:
• Cloud Azure – Skill Advanced
• OCI – Skill Proficient
• SO Windows Server – Skill Advanced
• SO Linux – Skill Advanced
• Network – Skill Proficient
• Storage – Skill Proficient
• IITL – Skill Proficient
• Inglês – Skill Proficient

• Advanced:
· Deep Technical skills.
· Conducts complex problem resolution, integration work, proof of concept, stress testing & performance testing, support
· Engages and coordinate others
· Transfers knowledge to field, customers.
• Proficient:
· Technical skills.
· Maintains awareness of market latest developments.
· Coordinates complex IT solutions offering adapted to customer's needs.
· Engages specialist resources as needed.
· Develops/delivers technical workshops.
Primary Skill Cloud Infrastructure","Local de Trabalho: Indiferente

Skills:
• Cloud Azure – Skill Advanced
• OCI – Skill Proficient
• SO Windows Server – Skill Advanced
• SO Linux – Skill Advanced
• Network – Skill Proficient
• Storage – Skill Proficient
• IITL – Skill Proficient
• Inglês – Skill Proficient

• Advanced:
· Deep Technical skills.
· Conducts complex problem resolution, integration work, proof of concept, stress testing & performance testing, support
· Engages and coordinate others
· Transfers knowledge to field, customers.
• Proficient:
· Technical skills.
· Maintains awareness of market latest developments.
· Coordinates complex IT solutions offering adapted to customer's needs.
· Engages specialist resources as needed.
· Develops/delivers technical workshops.
Primary Skill Cloud Infrastructure",,"Local de Trabalho: Indiferente

Skills:
• Cloud Azure – Skill Advanced
• OCI – Skill Proficient
• SO Windows Server – Skill Advanced
• SO Linux – Skill Advanced
• Network – Skill Proficient
• Storage – Skill Proficient
• IITL – Skill Proficient
• Inglês – Skill Proficient

• Advanced:
· Deep Technical skills.
· Conducts complex problem resolution, integration work, proof of concept, stress testing & performance testing, support
· Engages and coordinate others
· Transfers knowledge to field, customers.
• Proficient:
· Technical skills.
· Maintains awareness of market latest developments.
· Coordinates complex IT solutions offering adapted to customer's needs.
· Engages specialist resources as needed.
· Develops/delivers technical workshops.
Primary Skill Cloud Infrastructure Local de Trabalho: Indiferente

Skills:
• Cloud Azure – Skill Advanced
• OCI – Skill Proficient
• SO Windows Server – Skill Advanced
• SO Linux – Skill Advanced
• Network – Skill Proficient
• Storage – Skill Proficient
• IITL – Skill Proficient
• Inglês – Skill Proficient

• Advanced:
· Deep Technical skills.
· Conducts complex problem resolution, integration work, proof of concept, stress testing & performance testing, support
· Engages and coordinate others
· Transfers knowledge to field, customers.
• Proficient:
· Technical skills.
· Maintains awareness of market latest developments.
· Coordinates complex IT solutions offering adapted to customer's needs.
· Engages specialist resources as needed.
· Develops/delivers technical workshops.
Primary Skill Cloud Infrastructure",local de trabalho indiferente skills cloud azure - skill advanced oci - skill proficient so windows server - skill advanced so linux - skill advanced network - skill proficient storage - skill proficient iitl - skill proficient inglês - skill proficient advanced deep technical skills. conducts complex problem resolution integration work proof of concept stress testing performance testing support engages and coordinate others transfers knowledge to field customers. proficient technical skills. maintains awareness of market latest developments. coordinates complex it solutions offering adapted to customer s needs. engages specialist resources as needed. develops/delivers technical workshops. primary skill cloud infrastructure local de trabalho indiferente skills cloud azure - skill advanced oci - skill proficient so windows server - skill advanced so linux - skill advanced network - skill proficient storage - skill proficient iitl - skill proficient inglês - skill proficient advanced deep technical skills. primary skill cloud infrastructure,local de trabalho indiferente skills cloud azure - skill advanced oci - skill proficient so windows server - skill advanced so linux - skill advanced network - skill proficient storage - skill proficient iitl - skill proficient ingles - skill proficient advanced deep technical skills. conducts complex problem resolution integration work proof of concept stress testing performance testing support engages and coordinate others transfers knowledge to field customers. proficient technical skills. maintains awareness of market latest developments. coordinates complex it solutions offering adapted to customer s needs. engages specialist resources as needed. develops/delivers technical workshops. primary skill cloud infrastructure local de trabalho indiferente skills cloud azure - skill advanced oci - skill proficient so windows server - skill advanced so linux - skill advanced network - skill proficient storage - skill proficient iitl - skill proficient ingles - skill proficient advanced deep technical skills. primary skill cloud infrastructure,148
5132,Especialista Analista Funcional,Santos Ltd,False,Especialista,Nenhum,Nenhum,TI - Projetos-,veja em baixo,"- Mínimo de 4 anos como Especialista/Analista Senior

- obrigatório ter atuado em instituições financeiras, ou prestado serviço por consultoria de informática;

- Conhecimento sólido no ciclo de vida do Crédito Consignado: captura, averbação, liberação e recebimento de crédito, glosa, convênios, conciliação, entre outras Comerciais, BackOffice e Regulatórias.

- ter atuado em sustentação e projetos de algum sistema de Consignado: de preferencia Função.

- Conhecimento básico em Banco de dados (Oracle e SqlServer) para realização de levantamentos simples e analises dos problemas (SELECT´s)

- Elaboração de documentações para projetos e sistemas (especificações, requisições, evidencias de teste, documentação de GMUD, etc.)

- Realização e defesa de GMUD´s.

- inicialmente por 12 meses, com possibilidade de renovação ao final.

- sem restrição para internalização da Crefisa, durante o contrato ou ao seu término;

- inicio o mais breve possível.",,"- Mínimo de 4 anos como Especialista/Analista Senior

- obrigatório ter atuado em instituições financeiras, ou prestado serviço por consultoria de informática;

- Conhecimento sólido no ciclo de vida do Crédito Consignado: captura, averbação, liberação e recebimento de crédito, glosa, convênios, conciliação, entre outras Comerciais, BackOffice e Regulatórias.

- ter atuado em sustentação e projetos de algum sistema de Consignado: de preferencia Função.

- Conhecimento básico em Banco de dados (Oracle e SqlServer) para realização de levantamentos simples e analises dos problemas (SELECT´s)

- Elaboração de documentações para projetos e sistemas (especificações, requisições, evidencias de teste, documentação de GMUD, etc.)

- Realização e defesa de GMUD´s.

- inicialmente por 12 meses, com possibilidade de renovação ao final.

- sem restrição para internalização da Crefisa, durante o contrato ou ao seu término;

- inicio o mais breve possível. veja em baixo",- mínimo de 4 anos como especialista/analista senior - obrigatório ter atuado em instituições financeiras ou prestado serviço por consultoria de informática - sólido no ciclo de vida do crédito consignado captura averbação liberação e recebimento de crédito glosa convênios conciliação entre outras comerciais backoffice e regulatórias. - ter atuado em sustentação e projetos de algum sistema de consignado de preferencia função. - básico em banco de dados oracle e sqlserver para realização de levantamentos simples e analises dos problemas select s - elaboração de documentações para projetos e sistemas especificações requisições evidencias de teste documentação de gmud etc. - realização e defesa de gmud s. - inicialmente por 12 meses com possibilidade de renovação ao final. - sem restrição para internalização da crefisa durante o contrato ou ao seu término - inicio o mais breve possível. veja em baixo,- minimo de 4 anos como especialista/analista senior - obrigatorio ter atuado em instituicoes financeiras ou prestado servico por consultoria de informatica - solido no ciclo de vida do credito consignado captura averbacao liberacao e recebimento de credito glosa convenios conciliacao entre outras comerciais backoffice e regulatorias. - ter atuado em sustentacao e projetos de algum sistema de consignado de preferencia funcao. - basico em banco de dados oracle e sqlserver para realizacao de levantamentos simples e analises dos problemas select s - elaboracao de documentacoes para projetos e sistemas especificacoes requisicoes evidencias de teste documentacao de gmud etc. - realizacao e defesa de gmud s. - inicialmente por 12 meses com possibilidade de renovacao ao final. - sem restricao para internalizacao da crefisa durante o contrato ou ao seu termino - inicio o mais breve possivel. veja em baixo,140
5131,DevOps - 11896596,Nelson-Page,False,Analista,Básico,Básico,TI - Projetos-,"Responsible for leading design and creating a highly efficient, metrics-driven, DevOps working model. Conhecimentos em Kubernetes, Docker, Jenkins, Gitlab, Sonar, Nexus, Monitoramento ELK (elasticsearch, kibana, logstash, graphana), istio, prometheus.
Outros detalhes do trabalho: 1 - DevOps Architecture (P4 - Expert). -Possibilidade de absorção -Trabalho remoto -Horário das 9h ás 18h
Primary Skill DevOps","Responsible for leading design and creating a highly efficient, metrics-driven, DevOps working model. Conhecimentos em Kubernetes, Docker, Jenkins, Gitlab, Sonar, Nexus, Monitoramento ELK (elasticsearch, kibana, logstash, graphana), istio, prometheus.
Outros detalhes do trabalho: 1 - DevOps Architecture (P4 - Expert). -Possibilidade de absorção -Trabalho remoto -Horário das 9h ás 18h
Primary Skill DevOps",,"Responsible for leading design and creating a highly efficient, metrics-driven, DevOps working model. Conhecimentos em Kubernetes, Docker, Jenkins, Gitlab, Sonar, Nexus, Monitoramento ELK (elasticsearch, kibana, logstash, graphana), istio, prometheus.
Outros detalhes do trabalho: 1 - DevOps Architecture (P4 - Expert). -Possibilidade de absorção -Trabalho remoto -Horário das 9h ás 18h
Primary Skill DevOps Responsible for leading design and creating a highly efficient, metrics-driven, DevOps working model. Conhecimentos em Kubernetes, Docker, Jenkins, Gitlab, Sonar, Nexus, Monitoramento ELK (elasticsearch, kibana, logstash, graphana), istio, prometheus.
Outros detalhes do trabalho: 1 - DevOps Architecture (P4 - Expert). -Possibilidade de absorção -Trabalho remoto -Horário das 9h ás 18h
Primary Skill DevOps",responsible for leading design and creating a highly efficient metrics-driven devops working model. em kubernetes docker jenkins gitlab sonar nexus monitoramento elk elasticsearch kibana logstash graphana istio prometheus. outros detalhes do trabalho 1 - devops architecture p4 - expert. -possibilidade de absorção -trabalho remoto -horário das 9h ás 18h primary skill devops responsible for leading design and creating a highly efficient metrics-driven devops working model. -possibilidade de absorção -trabalho remoto -horário das 9h ás 18h primary skill devops,responsible for leading design and creating a highly efficient metrics-driven devops working model. em kubernetes docker jenkins gitlab sonar nexus monitoramento elk elasticsearch kibana logstash graphana istio prometheus. outros detalhes do trabalho 1 - devops architecture p4 - expert. -possibilidade de absorcao -trabalho remoto -horario das 9h as 18h primary skill devops responsible for leading design and creating a highly efficient metrics-driven devops working model. -possibilidade de absorcao -trabalho remoto -horario das 9h as 18h primary skill devops,78
5130,DevOps - 11896593,Nelson-Page,False,Analista,Básico,Básico,TI - Projetos-,"Responsible for leading design and creating a highly efficient, metrics-driven, DevOps working model. Conhecimentos em Kubernetes, Docker, Jenkins, Gitlab, Sonar, Nexus, Monitoramento ELK (elasticsearch, kibana, logstash, graphana), istio, prometheus.
Outros detalhes do trabalho: 1 - DevOps Architecture (P3 - Advanced). -Possibilidade de absorção -Trabalho remoto -Horário das 9h ás 18h
Primary Skill DevOps","Responsible for leading design and creating a highly efficient, metrics-driven, DevOps working model. Conhecimentos em Kubernetes, Docker, Jenkins, Gitlab, Sonar, Nexus, Monitoramento ELK (elasticsearch, kibana, logstash, graphana), istio, prometheus.
Outros detalhes do trabalho: 1 - DevOps Architecture (P3 - Advanced). -Possibilidade de absorção -Trabalho remoto -Horário das 9h ás 18h
Primary Skill DevOps",,"Responsible for leading design and creating a highly efficient, metrics-driven, DevOps working model. Conhecimentos em Kubernetes, Docker, Jenkins, Gitlab, Sonar, Nexus, Monitoramento ELK (elasticsearch, kibana, logstash, graphana), istio, prometheus.
Outros detalhes do trabalho: 1 - DevOps Architecture (P3 - Advanced). -Possibilidade de absorção -Trabalho remoto -Horário das 9h ás 18h
Primary Skill DevOps Responsible for leading design and creating a highly efficient, metrics-driven, DevOps working model. Conhecimentos em Kubernetes, Docker, Jenkins, Gitlab, Sonar, Nexus, Monitoramento ELK (elasticsearch, kibana, logstash, graphana), istio, prometheus.
Outros detalhes do trabalho: 1 - DevOps Architecture (P3 - Advanced). -Possibilidade de absorção -Trabalho remoto -Horário das 9h ás 18h
Primary Skill DevOps",responsible for leading design and creating a highly efficient metrics-driven devops working model. em kubernetes docker jenkins gitlab sonar nexus monitoramento elk elasticsearch kibana logstash graphana istio prometheus. outros detalhes do trabalho 1 - devops architecture p3 - advanced. -possibilidade de absorção -trabalho remoto -horário das 9h ás 18h primary skill devops responsible for leading design and creating a highly efficient metrics-driven devops working model. -possibilidade de absorção -trabalho remoto -horário das 9h ás 18h primary skill devops,responsible for leading design and creating a highly efficient metrics-driven devops working model. em kubernetes docker jenkins gitlab sonar nexus monitoramento elk elasticsearch kibana logstash graphana istio prometheus. outros detalhes do trabalho 1 - devops architecture p3 - advanced. -possibilidade de absorcao -trabalho remoto -horario das 9h as 18h primary skill devops responsible for leading design and creating a highly efficient metrics-driven devops working model. -possibilidade de absorcao -trabalho remoto -horario das 9h as 18h primary skill devops,78
5129,4395296 - Analista de Testes,Miller-Curry,False,Pleno,Avançado,Nenhum,TI - Desenvolvimento/Programação-,Testes (QA),Testes (QA),,Testes (QA) Testes (QA),testes qa testes qa,testes qa testes qa,4
5128,Service Support - 20216301694,Morrison Ltd,False,Pleno,Nenhum,Nenhum,Gestão e Alocação de Recursos de TI-,"Experiência em definição de arquiteturas RPA e RDA.

Conhecimento sobre as principais plataformas RPA.

Conhecimento sobre Inteligência Artificial.

Fácil manuseio com tecnologia e perfil autodidata.","Conhecimento no Office 365.

Conhecimento básico no SAP.",,"Conhecimento no Office 365.

Conhecimento básico no SAP. Experiência em definição de arquiteturas RPA e RDA.

Conhecimento sobre as principais plataformas RPA.

Conhecimento sobre Inteligência Artificial.

Fácil manuseio com tecnologia e perfil autodidata.",no office 365. básico no sap. em definição de arquiteturas rpa e rda. sobre as plataformas rpa. sobre inteligência artificial. fácil manuseio com tecnologia e perfil autodidata.,no office 365. basico no sap. em definicao de arquiteturas rpa e rda. sobre as plataformas rpa. sobre inteligencia artificial. facil manuseio com tecnologia e perfil autodidata.,27
5127,SAP PP/QM - 20215026044,Morrison Ltd,False,Pleno,Nenhum,Nenhum,Gestão e Alocação de Recursos de TI-,Seronidade: PL-SR,". Suporte AMS. Realizar atendimento a inidentes, melhorias e problemas.",,". Suporte AMS. Realizar atendimento a inidentes, melhorias e problemas. Seronidade: PL-SR",suporte ams. realizar atendimento a inidentes melhorias e problemas. seronidade pl-sr,suporte ams. realizar atendimento a inidentes melhorias e problemas. seronidade pl-sr,11
5126,Assistente Sr / Contas A Pagar - 11887124,Nelson-Page,False,Analista,Básico,Básico,TI - Projetos-,"Serviços de Contas a Pagar, Suporte Administrativo e Central de Notas. Contas a Pagar : o processo que se inicia com o processamento de notas fiscais de fornecedores de bens ou serviços e obrigações financeiras, e termina com o pagamento ou liquidação dos mesmos. O Suporte Administrativo: o processo que inclui o suporte a geração de dossiês para emissão de documentação, emissão de certidões, cadastro de contrato, atendimento a protestos. Skills para a vaga: - Office intermediário - Conhecimento financeiro - Experiência com SAP - Conhecimento em entrada de notas fiscais / serviços administrativos - Bom relacionamento em trabalho de equipe - Conhecimento de legislação e interpretação de normas
Outros detalhes do trabalho: -Possibilidade de absorção -Trabalho remoto por conta da pandemia -Horário das 8h ás 17h - Obs: previsão de 4 anos de projeto
Primary Skill Finance Processes","Serviços de Contas a Pagar, Suporte Administrativo e Central de Notas. Contas a Pagar : o processo que se inicia com o processamento de notas fiscais de fornecedores de bens ou serviços e obrigações financeiras, e termina com o pagamento ou liquidação dos mesmos. O Suporte Administrativo: o processo que inclui o suporte a geração de dossiês para emissão de documentação, emissão de certidões, cadastro de contrato, atendimento a protestos. Skills para a vaga: - Office intermediário - Conhecimento financeiro - Experiência com SAP - Conhecimento em entrada de notas fiscais / serviços administrativos - Bom relacionamento em trabalho de equipe - Conhecimento de legislação e interpretação de normas
Outros detalhes do trabalho: -Possibilidade de absorção -Trabalho remoto por conta da pandemia -Horário das 8h ás 17h - Obs: previsão de 4 anos de projeto
Primary Skill Finance Processes",,"Serviços de Contas a Pagar, Suporte Administrativo e Central de Notas. Contas a Pagar : o processo que se inicia com o processamento de notas fiscais de fornecedores de bens ou serviços e obrigações financeiras, e termina com o pagamento ou liquidação dos mesmos. O Suporte Administrativo: o processo que inclui o suporte a geração de dossiês para emissão de documentação, emissão de certidões, cadastro de contrato, atendimento a protestos. Skills para a vaga: - Office intermediário - Conhecimento financeiro - Experiência com SAP - Conhecimento em entrada de notas fiscais / serviços administrativos - Bom relacionamento em trabalho de equipe - Conhecimento de legislação e interpretação de normas
Outros detalhes do trabalho: -Possibilidade de absorção -Trabalho remoto por conta da pandemia -Horário das 8h ás 17h - Obs: previsão de 4 anos de projeto
Primary Skill Finance Processes Serviços de Contas a Pagar, Suporte Administrativo e Central de Notas. Contas a Pagar : o processo que se inicia com o processamento de notas fiscais de fornecedores de bens ou serviços e obrigações financeiras, e termina com o pagamento ou liquidação dos mesmos. O Suporte Administrativo: o processo que inclui o suporte a geração de dossiês para emissão de documentação, emissão de certidões, cadastro de contrato, atendimento a protestos. Skills para a vaga: - Office intermediário - Conhecimento financeiro - Experiência com SAP - Conhecimento em entrada de notas fiscais / serviços administrativos - Bom relacionamento em trabalho de equipe - Conhecimento de legislação e interpretação de normas
Outros detalhes do trabalho: -Possibilidade de absorção -Trabalho remoto por conta da pandemia -Horário das 8h ás 17h - Obs: previsão de 4 anos de projeto
Primary Skill Finance Processes",serviços de contas a pagar suporte administrativo e central de notas. contas a pagar o processo que se inicia com o processamento de notas fiscais de fornecedores de bens ou serviços e obrigações financeiras e termina com o pagamento ou liquidação dos mesmos. o suporte administrativo o processo que inclui o suporte a geração de dossiês para emissão de documentação emissão de certidões cadastro de contrato atendimento a protestos. skills para a vaga - office intermediário - financeiro - com sap - em entrada de notas fiscais / serviços administrativos - bom relacionamento em trabalho de equipe - de legislação e interpretação de normas outros detalhes do trabalho -possibilidade de absorção -trabalho remoto por conta da pandemia -horário das 8h ás 17h - obs previsão de 4 anos de projeto primary skill finance processes serviços de contas a pagar suporte administrativo e central de notas. skills para a vaga - office intermediário - financeiro - com sap - em entrada de notas fiscais / serviços administrativos - bom relacionamento em trabalho de equipe - de legislação e interpretação de normas outros detalhes do trabalho -possibilidade de absorção -trabalho remoto por conta da pandemia -horário das 8h ás 17h - obs previsão de 4 anos de projeto primary skill finance processes,servicos de contas a pagar suporte administrativo e central de notas. contas a pagar o processo que se inicia com o processamento de notas fiscais de fornecedores de bens ou servicos e obrigacoes financeiras e termina com o pagamento ou liquidacao dos mesmos. o suporte administrativo o processo que inclui o suporte a geracao de dossies para emissao de documentacao emissao de certidoes cadastro de contrato atendimento a protestos. skills para a vaga - office intermediario - financeiro - com sap - em entrada de notas fiscais / servicos administrativos - bom relacionamento em trabalho de equipe - de legislacao e interpretacao de normas outros detalhes do trabalho -possibilidade de absorcao -trabalho remoto por conta da pandemia -horario das 8h as 17h - obs previsao de 4 anos de projeto primary skill finance processes servicos de contas a pagar suporte administrativo e central de notas. skills para a vaga - office intermediario - financeiro - com sap - em entrada de notas fiscais / servicos administrativos - bom relacionamento em trabalho de equipe - de legislacao e interpretacao de normas outros detalhes do trabalho -possibilidade de absorcao -trabalho remoto por conta da pandemia -horario das 8h as 17h - obs previsao de 4 anos de projeto primary skill finance processes,210
5125,Analista de Storage Senior,Morrison Ltd,False,Pleno,Nenhum,Nenhum,Gestão e Alocação de Recursos de TI-,"Analista de Storage

nível Senior","Conhecimento em HDS:
HITASHI VSP
BROCADE
HNAS
HCP
REDE SAN

CONHECIMENTO EM NETAPP, LINUX E WINDOWS SERVER
DIFERENCIAL SHELL SCRIPT",,"Conhecimento em HDS:
HITASHI VSP
BROCADE
HNAS
HCP
REDE SAN

CONHECIMENTO EM NETAPP, LINUX E WINDOWS SERVER
DIFERENCIAL SHELL SCRIPT Analista de Storage

nível Senior",em hds hitashi vsp brocade hnas hcp rede san em netapp linux e windows server shell script analista de storage nível senior,em hds hitashi vsp brocade hnas hcp rede san em netapp linux e windows server shell script analista de storage nivel senior,22
5124,Cargo com número do PSP,Morrison Ltd,False,Pleno,Nenhum,Nenhum,Gestão e Alocação de Recursos de TI-,Desenvolvedor,SAP,,SAP Desenvolvedor,sap desenvolvedor,sap desenvolvedor,2
5123,IND - Consultor de Redes,Morrison Ltd,False,Pleno,Nenhum,Nenhum,Gestão e Alocação de Recursos de TI-,Consultor de Redes,Redes,,Redes Consultor de Redes,redes consultor de redes,redes consultor de redes,4
5122,IND - Analista de Suporte Backup,Morrison Ltd,False,Pleno,Nenhum,Nenhum,Gestão e Alocação de Recursos de TI-,Analista de Suporte,Backup,,Backup Analista de Suporte,backup analista de suporte,backup analista de suporte,4
5121,IND - Consultor de Redes,Morrison Ltd,False,Pleno,Nenhum,Nenhum,Gestão e Alocação de Recursos de TI-,Consultor de Redes,Redes,,Redes Consultor de Redes,redes consultor de redes,redes consultor de redes,4
5120,IND - Consultor de Redes,Morrison Ltd,False,Pleno,Nenhum,Nenhum,Gestão e Alocação de Recursos de TI-,Redes,Telecom,,Telecom Redes,telecom redes,telecom redes,2
